Date,q
2009-06-01,99.16976190476193
2009-06-02,152.12749999999997
2009-06-03,147.88750000000007
2009-06-04,124.47958333333334
2009-06-05,69.74979166666667
2009-06-06,67.49666666666666
2009-06-07,48.2659375
2009-06-08,90.76072916666665
2009-06-09,74.8984375
2009-06-10,66.63249999999998
2009-06-11,88.14208333333333
2009-06-12,97.29843750000002
2009-06-13,88.06489583333335
2009-06-14,57.567604166666676
2009-06-15,12.671041666666667
2009-06-16,116.51604166666668
2009-06-17,128.31020833333335
2009-06-18,115.65822916666666
2009-06-19,97.11677083333336
2009-06-20,100.57375000000003
2009-06-21,84.2525
2009-06-22,86.03791666666666
2009-06-23,98.48520833333339
2009-06-24,90.60812499999999
2009-06-25,75.30239583333336
2009-06-26,94.71770833333333
2009-06-27,82.05760416666666
2009-06-28,69.89416666666669
2009-06-29,94.9425
2009-06-30,89.45333333333333
2009-07-01,86.35510416666666
2009-07-02,76.33166666666665
2009-07-03,92.53697916666665
2009-07-04,85.26989583333331
2009-07-05,80.88416666666669
2009-07-06,68.94427083333333
2009-07-07,82.80552083333332
2009-07-08,77.25052083333335
2009-07-09,85.41250000000004
2009-07-10,83.63374999999998
2009-07-11,64.33427083333335
2009-07-12,70.87364583333333
2009-07-13,74.37333333333333
2009-07-14,48.375520833333326
2009-07-15,89.58031249999999
2009-07-16,88.72666666666667
2009-07-17,71.49031249999996
2009-07-18,8.0684375
2009-07-19,34.629687499999996
2009-07-20,80.15354166666665
2009-07-21,105.25843749999996
2009-07-22,92.70604166666662
2009-07-23,73.96489583333334
2009-07-24,62.543749999999996
2009-07-25,65.35583333333334
2009-07-26,84.86541666666666
2009-07-27,78.49385416666668
2009-07-28,80.49729166666667
2009-07-29,83.01885416666667
2009-07-30,82.2144791666667
2009-07-31,67.12468749999996
2009-08-01,56.90916666666667
2009-08-02,40.81302083333333
2009-08-03,83.39687499999998
2009-08-04,77.50645833333333
2009-08-05,57.35593749999998
2009-08-06,69.11239583333332
2009-08-07,92.69302083333334
2009-08-08,52.287812499999994
2009-08-09,35.05229166666667
2009-08-10,75.5910416666667
2009-08-11,50.75916666666666
2009-08-12,60.87614583333332
2009-08-13,86.05000000000001
2009-08-14,89.0565625
2009-08-15,75.286875
2009-08-16,75.08447916666667
2009-08-17,78.02906250000002
2009-08-18,76.66916666666668
2009-08-19,67.8325
2009-08-20,56.6015625
2009-08-21,64.09291666666665
2009-08-22,79.52968750000001
2009-08-23,80.59093750000001
2009-08-24,79.79052083333336
2009-08-25,62.067604166666676
2009-08-26,72.46229166666666
2009-08-27,76.57083333333331
2009-08-28,66.61562500000001
2009-08-29,56.39635416666667
2009-08-30,65.23885416666668
2009-08-31,81.52947916666666
2009-09-01,76.64916666666666
2009-09-02,66.28625000000001
2009-09-03,57.773229166666646
2009-09-04,56.77927083333333
2009-09-05,27.762812499999995
2009-09-06,66.50989583333333
2009-09-07,75.63052083333336
2009-09-08,74.98333333333333
2009-09-09,54.34979166666665
2009-09-10,74.7540625
2009-09-11,82.80020833333332
2009-09-12,55.77885416666666
2009-09-13,76.95052083333333
2009-09-14,64.51666666666667
2009-09-15,41.95
2009-09-16,67.64010416666667
2009-09-17,54.44552083333334
2009-09-18,48.984062500000014
2009-09-19,39.291875000000005
2009-09-20,73.53343749999999
2009-09-21,57.719479166666666
2009-09-22,54.84520833333332
2009-09-23,75.37427083333333
2009-09-24,58.16197916666669
2009-09-25,72.93958333333333
2009-09-26,55.704375
2009-09-27,92.43531250000002
2009-09-28,62.088854166666685
2009-09-29,68.22156249999999
2009-09-30,72.83854166666669
2009-10-01,67.37499999999999
2009-10-02,42.868958333333325
2009-10-03,27.370208333333327
2009-10-04,38.11572916666666
2009-10-05,81.32124999999998
2009-10-06,81.13083333333334
2009-10-07,89.65875000000001
2009-10-08,51.83072916666666
2009-10-09,32.06427083333333
2009-10-10,20.790625000000002
2009-10-11,65.181875
2009-10-12,71.72562500000002
2009-10-13,59.94427083333333
2009-10-14,81.20531249999998
2009-10-15,87.01229166666666
2009-10-16,55.066041666666685
2009-10-17,52.98166666666669
2009-10-18,61.88906249999997
2009-10-19,55.39802083333331
2009-10-20,64.72854166666669
2009-10-21,43.78666666666666
2009-10-22,39.86895833333333
2009-10-23,46.962500000000006
2009-10-24,50.47895833333336
2009-10-25,46.605625
2009-10-26,60.14927083333333
2009-10-27,47.11791666666667
2009-10-28,73.20427083333333
2009-10-29,82.52187500000002
2009-10-30,42.78
2009-10-31,25.386458333333334
2009-11-01,30.163645833333334
2009-11-02,80.80239583333334
2009-11-03,90.57114583333332
2009-11-04,85.02427083333332
2009-11-05,83.43885416666664
2009-11-06,84.80583333333331
2009-11-07,68.80166666666669
2009-11-08,84.94583333333334
2009-11-09,81.11729166666667
2009-11-10,34.402499999999996
2009-11-11,76.27479166666667
2009-11-12,67.54708333333333
2009-11-13,75.53020833333336
2009-11-14,39.091354166666676
2009-11-15,44.867499999999986
2009-11-16,77.94177083333332
2009-11-17,88.366875
2009-11-18,68.66999999999999
2009-11-19,83.78270833333332
2009-11-20,64.0775
2009-11-21,61.74802083333333
2009-11-22,61.242604166666645
2009-11-23,79.23052083333333
2009-11-24,79.95760416666668
2009-11-25,78.85114583333333
2009-11-26,72.82291666666669
2009-11-27,67.16458333333335
2009-11-28,68.12614583333334
2009-11-29,76.19114583333332
2009-11-30,92.21291666666666
2009-12-01,74.04479166666667
2009-12-02,79.03229166666667
2009-12-03,69.27510416666665
2009-12-04,75.09979166666666
2009-12-05,46.603645833333324
2009-12-06,57.667291666666635
