Date,n
2009-06-01,16.416562500000005
2009-06-02,14.618125000000012
2009-06-03,14.229895833333346
2009-06-04,14.300208333333345
2009-06-05,15.325000000000008
2009-06-06,15.526354166666671
2009-06-07,16.068020833333335
2009-06-08,15.00343750000001
2009-06-09,15.38937500000001
2009-06-10,15.519062500000004
2009-06-11,15.342500000000008
2009-06-12,15.008750000000012
2009-06-13,14.87739583333334
2009-06-14,15.51916666666668
2009-06-15,16.508541666666655
2009-06-16,14.96479166666668
2009-06-17,14.23041666666668
2009-06-18,14.230000000000013
2009-06-19,14.468229166666676
2009-06-20,14.354062500000012
2009-06-21,14.639583333333341
2009-06-22,14.59625000000001
2009-06-23,14.250000000000016
2009-06-24,14.338229166666679
2009-06-25,14.543541666666671
2009-06-26,14.291250000000005
2009-06-27,14.501145833333345
2009-06-28,14.739062500000008
2009-06-29,14.254375000000001
2009-06-30,14.20458333333334
2009-07-01,14.211979166666678
2009-07-02,14.440833333333336
2009-07-03,14.116979166666669
2009-07-04,14.198750000000004
2009-07-05,14.174583333333338
2009-07-06,14.605729166666677
2009-07-07,14.327916666666674
2009-07-08,14.457083333333337
2009-07-09,14.169791666666676
2009-07-10,14.168958333333341
2009-07-11,14.648125000000002
2009-07-12,14.51229166666667
2009-07-13,14.50708333333334
2009-07-14,15.08093750000001
2009-07-15,14.353854166666673
2009-07-16,14.17875000000001
2009-07-17,14.296979166666665
2009-07-18,15.834375000000007
2009-07-19,15.846458333333338
2009-07-20,14.787083333333344
2009-07-21,14.207916666666668
2009-07-22,14.165104166666675
2009-07-23,14.519166666666678
2009-07-24,14.816666666666677
2009-07-25,14.844479166666678
2009-07-26,14.323125
2009-07-27,14.41645833333334
2009-07-28,14.30645833333334
2009-07-29,14.228958333333338
2009-07-30,14.114062500000015
2009-07-31,14.47531250000001
2009-08-01,14.624479166666669
2009-08-02,15.076666666666673
2009-08-03,14.437916666666679
2009-08-04,14.589687500000004
2009-08-05,14.834270833333337
2009-08-06,14.688437500000006
2009-08-07,14.110729166666674
2009-08-08,14.620416666666658
2009-08-09,15.323541666666664
2009-08-10,14.859374999999984
2009-08-11,15.056041666666667
2009-08-12,15.042083333333332
2009-08-13,14.545729166666677
2009-08-14,14.204270833333345
2009-08-15,14.369895833333345
2009-08-16,14.408541666666677
2009-08-17,14.27270833333334
2009-08-18,14.227916666666681
2009-08-19,14.429270833333343
2009-08-20,14.544895833333342
2009-08-21,14.807187500000007
2009-08-22,14.336354166666675
2009-08-23,14.15166666666668
2009-08-24,14.054374999999993
2009-08-25,14.55875000000001
2009-08-26,14.311250000000015
2009-08-27,14.152083333333357
2009-08-28,14.207708333333342
2009-08-29,14.680208333333345
2009-08-30,14.666145833333344
2009-08-31,14.08364583333335
2009-09-01,14.103125000000013
2009-09-02,14.337812500000018
2009-09-03,14.531875000000005
2009-09-04,14.71677083333334
2009-09-05,15.28531250000001
2009-09-06,14.904791666666675
2009-09-07,14.343229166666676
2009-09-08,14.47625000000001
2009-09-09,14.75666666666667
2009-09-10,14.539166666666683
2009-09-11,14.083854166666685
2009-09-12,14.655729166666667
2009-09-13,14.26020833333335
2009-09-14,14.340000000000005
2009-09-15,15.025729166666672
2009-09-16,14.624895833333342
2009-09-17,14.796354166666674
2009-09-18,14.972812499999998
2009-09-19,15.32947916666667
2009-09-20,14.795729166666677
2009-09-21,15.002812500000006
2009-09-22,15.039062500000002
2009-09-23,14.633958333333345
2009-09-24,14.89656250000001
2009-09-25,14.54156250000001
2009-09-26,14.767083333333332
2009-09-27,14.14281250000001
2009-09-28,14.575833333333337
2009-09-29,14.48843750000001
2009-09-30,14.319375000000006
2009-10-01,14.374166666666689
2009-10-02,14.858541666666666
2009-10-03,15.534479166666669
2009-10-04,15.54708333333335
2009-10-05,14.632083333333346
2009-10-06,14.36916666666668
2009-10-07,14.006145833333347
2009-10-08,14.705520833333338
2009-10-09,15.240416666666675
2009-10-10,15.754270833333356
2009-10-11,15.103020833333341
2009-10-12,14.836770833333334
2009-10-13,15.0396875
2009-10-14,14.323958333333332
2009-10-15,14.265833333333331
2009-10-16,14.676458333333338
2009-10-17,14.79197916666668
2009-10-18,14.871041666666676
2009-10-19,14.869270833333337
2009-10-20,14.79885416666667
2009-10-21,15.005520833333343
2009-10-22,15.311145833333336
2009-10-23,15.282708333333337
2009-10-24,15.270000000000003
2009-10-25,15.385312500000007
2009-10-26,15.191875000000008
2009-10-27,15.410937500000005
2009-10-28,14.884375000000013
2009-10-29,14.511250000000006
2009-10-30,15.235416666666675
2009-10-31,15.754375000000003
2009-11-01,15.843749999999998
2009-11-02,15.03916666666668
2009-11-03,14.506770833333348
2009-11-04,14.432187500000012
2009-11-05,14.272916666666674
2009-11-06,14.202291666666682
2009-11-07,14.52520833333334
2009-11-08,14.138229166666678
2009-11-09,14.105104166666683
2009-11-10,15.012604166666671
2009-11-11,14.621666666666677
2009-11-12,14.754375000000005
2009-11-13,14.464687500000005
2009-11-14,15.259375000000004
2009-11-15,15.482604166666675
2009-11-16,14.794791666666677
2009-11-17,14.343645833333346
2009-11-18,14.695520833333342
2009-11-19,14.326354166666677
2009-11-20,14.62770833333334
2009-11-21,14.857083333333334
2009-11-22,14.909166666666673
2009-11-23,14.59364583333334
2009-11-24,14.284062500000013
2009-11-25,14.404791666666682
2009-11-26,14.308854166666682
2009-11-27,14.638020833333341
2009-11-28,14.466770833333344
2009-11-29,14.550000000000004
2009-11-30,13.945312500000007
2009-12-01,14.300833333333346
2009-12-02,14.239791666666667
2009-12-03,14.416041666666677
