,value,n_gal,h_cdt,h_riv,indicator,prior_var,post_var,prior_sd,post_sd,value_90,q_pred
alpha_hc_11,53.010905466000004,14.312890306122437,hc,17.16120498614958,alpha,475.57048181581325,306.0990165808297,21.807578540860817,17.495685656207637,71.34186833931469,94.604944536
alpha_hc_12,52.846107347,14.353812606292525,hc,17.16120498614958,alpha,284.777975570607,209.93063115835983,16.87536593886506,14.48898309607544,71.17707022031468,93.68368070400001
alpha_hc_13,52.590483856000006,14.405056335034029,hc,17.16120498614958,alpha,558.6514233301308,319.05321011621965,23.63580807440547,17.86206063465858,70.92144672931468,92.53005559199998
alpha_hc_14,52.219156262,14.440256696428586,hc,17.16120498614958,alpha,557.4247775409697,282.9994645851755,23.609844928354985,16.822587927699338,70.55011913531467,91.73760699600001
alpha_hc_15,51.965486492,14.482095238095244,hc,17.16120498614958,alpha,598.8685388015217,286.0543860607055,24.471790674193045,16.913142406445512,70.29644936531469,90.79571631600001
alpha_hc_16,51.798654535,14.516267644557818,hc,17.16120498614958,alpha,605.8876512937607,346.8647027388405,24.614785217298984,18.624304087370366,70.12961740831469,90.026409708
alpha_hc_17,51.495022234,14.558732355442185,hc,17.16120498614958,alpha,605.5929692454155,394.38497143752375,24.60879861442682,19.859128164084236,69.82598510731468,89.070422148
alpha_hc_18,51.30832882399999,14.578557610544213,hc,17.16120498614958,alpha,642.4309428190946,392.4698431384734,25.346221470252615,19.810851651013728,69.63929169731468,88.624105956
alpha_hc_19,51.342357445,14.58093749999999,hc,17.16120498614958,alpha,657.8237216230427,423.4968592413162,25.64807442329819,20.579039317745526,69.67332031831468,88.570528668
alpha_hc_20,50.878576077,14.622554740646267,hc,17.16120498614958,alpha,620.4020899600306,340.9641693074523,24.907872048009853,18.46521511673916,69.20953895031468,87.633619992
alpha_hc_21,50.802428498999994,14.673297619047611,hc,17.16120498614958,alpha,496.08125126310716,256.227023935809,22.27288152132784,16.007092925819133,69.13339137231468,86.491270224
alpha_hc_22,50.396109452,14.72021322278914,hc,17.16120498614958,alpha,570.1412019287912,315.41808260746086,23.87762973849773,17.76001358691656,68.72707232531468,85.43508217200001
alpha_hc_23,50.147004556999995,14.773469387755096,hc,17.16120498614958,alpha,622.2885075665705,331.12027774795916,24.945711205868044,18.196710629890205,68.47796743031468,84.23615196
alpha_hc_24,49.924809485,14.822669217687078,hc,17.16120498614958,alpha,425.80756913706347,201.79947551793666,20.635105261109366,14.205614225296161,68.25577235831469,83.12854014000001
alpha_hc_25,49.476095698,14.878520620748267,hc,17.16120498614958,alpha,565.9741139280511,341.386373034354,23.79021046413947,18.476643987325026,67.80705857131468,81.87118477199999
alpha_hc_26,49.215909633,14.939203231292547,hc,17.16120498614958,alpha,613.1919737978178,435.1250978446405,24.76271337712848,20.859652390311794,67.54687250631468,80.505066708
alpha_hc_27,48.934451793,15.014838435374159,hc,17.16120498614958,alpha,471.86658470102554,302.5740696485717,21.72249029694859,17.39465635327619,67.26541466631468,78.80232805200001
alpha_hc_28,48.686165179,15.081328124999997,hc,17.16120498614958,alpha,478.4649349317069,371.8888422702827,21.87384133918199,19.284419676782672,67.01712805231469,77.30547825599999
alpha_hc_29,49.00950415,15.151579294217685,hc,17.16120498614958,alpha,504.7489421501622,329.481343617121,22.466618395970546,18.151620963900744,67.34046702331469,75.72394785599998
alpha_hc_30,48.783554603,15.240416666666668,hc,17.16120498614958,alpha,496.0509541939494,387.5922249479075,22.272201377366123,19.687362061685853,67.11451747631469,73.72399517999999
alpha_hc_31,48.59887938,15.34787032312925,hc,17.16120498614958,alpha,692.1488361442669,578.8139473476103,26.308721674461243,24.058552478227163,66.92984225331469,71.304943464
alpha_hc_32,47.836362217,15.442928784013606,hc,17.16120498614958,alpha,671.8646344794669,268.35905143804985,25.920351742973452,16.38166815187177,66.16732509031468,69.16493861999999
alpha_hc_33,47.047267226,15.526109693877554,hc,17.16120498614958,alpha,825.6232340530171,407.7309082143161,28.733660296819426,20.192347763801912,65.37823009931469,67.292327304
alpha_hc_34,46.62306207,15.644596194727894,hc,17.16120498614958,alpha,719.9380651935503,446.9637393478281,26.831661618199316,21.141516959476398,64.95402494331469,64.624898412
alpha_hc_35,45.462659521999996,15.737607142857161,hc,17.16120498614958,alpha,525.7190409981221,352.7272742143511,22.92856386689149,18.781034961214228,63.79362239531468,62.530988184
